origin,destination,departure_date,collection_date,advance_window_days,total_fare_inr,base_fare_inr,taxes_inr,udf_inr,convenience_fee_inr,carrier,flight_number,depart_time_local,fare_class,source_portal
BLR,BOM,2026-09-09,2026-09-08,1,15664.0,13814.0,1850.0,,,QP,QP1134,22:55,EC,akasa
BLR,BOM,2026-09-09,2026-09-08,1,16242.0,14364.0,1878.0,,,QP,QP1134,22:55,AV,akasa
BLR,BOM,2026-09-09,2026-09-08,1,17024.0,15108.0,1916.0,,,QP,QP1150,16:05,EC,akasa
BLR,BOM,2026-09-09,2026-09-08,1,17600.0,15658.0,1942.0,,,QP,QP1150,16:05,AV,akasa
BLR,BOM,2026-09-09,2026-09-08,1,20136.0,18072.0,2064.0,,,QP,QP1517,07:40,EC,akasa
BLR,BOM,2026-09-09,2026-09-08,1,20714.0,18622.0,2092.0,,,QP,QP1517,07:40,AV,akasa
BLR,BOM,2026-09-09,2026-09-08,1,21555.0,19423.0,2132.0,,,QP,QP1381,04:50,EC,akasa
BLR,BOM,2026-09-09,2026-09-08,1,22131.0,19973.0,2158.0,,,QP,QP1381,04:50,AV,akasa
BLR,BOM,2026-09-09,2026-09-08,1,21555.0,19423.0,2132.0,,,QP,QP1130,11:20,EC,akasa
BLR,BOM,2026-09-09,2026-09-08,1,22131.0,19973.0,2158.0,,,QP,QP1130,11:20,AV,akasa
BLR,BOM,2026-09-09,2026-09-08,1,23078.0,20874.0,2204.0,,,QP,QP1528,10:20,EC,akasa
BLR,BOM,2026-09-09,2026-09-08,1,23656.0,21424.0,2232.0,,,QP,QP1528,10:20,AV,akasa
BLR,BOM,2026-09-09,2026-09-08,1,28366.0,25910.0,2456.0,,,QP,QP1515,06:20,EC,akasa
BLR,BOM,2026-09-09,2026-09-08,1,28944.0,26460.0,2484.0,,,QP,QP1515,06:20,AV,akasa
BLR,BOM,2026-09-15,2026-09-08,7,6575.0,5157.0,1418.0,,,QP,QP1134,22:55,EC,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7153.0,5707.0,1446.0,,,QP,QP1134,22:55,AV,akasa
BLR,BOM,2026-09-15,2026-09-08,7,6823.0,5393.0,1430.0,,,QP,QP1381,04:50,EC,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7401.0,5943.0,1458.0,,,QP,QP1381,04:50,AV,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7082.0,5640.0,1442.0,,,QP,QP1383,05:25,EC,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7660.0,6190.0,1470.0,,,QP,QP1383,05:25,AV,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7082.0,5640.0,1442.0,,,QP,QP1528,10:20,EC,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7660.0,6190.0,1470.0,,,QP,QP1528,10:20,AV,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7082.0,5640.0,1442.0,,,QP,QP1150,16:05,EC,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7660.0,6190.0,1470.0,,,QP,QP1150,16:05,AV,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7352.0,5898.0,1454.0,,,QP,QP1132,15:20,EC,akasa
BLR,BOM,2026-09-15,2026-09-08,7,7930.0,6448.0,1482.0,,,QP,QP1132,15:20,AV,akasa
